A_Fighter,B_Fighter,Division,WinBy,EventYear,EventLocation,A_height,A_weight,A_range,A_Stance,A_YearBirth,A_SigStrikeLanded,A_SigStrikeAcc,A_SigStrikeAbsorb,A_SigStrikeDef,A_TakedownAvg,A_TakedownAcc,A_TakedownDef,A_SubAvg,B_height,B_weight,B_range,B_Stance,B_YearBirth,B_SigStrikeLanded,B_SigStrikeAcc,B_SigStrikeAbsorb,B_SigStrikeDef,B_TakedownAvg,B_TakedownAcc,B_TakedownDef,B_SubAvg
Jorge Rivera,David Loiseau,Middleweight,U-DEC,2003.0,LasVegas,73.0,185.0,73.0,Orthodox,1972.0,3.16,48.0,2.64,54.0,0.84,50.0,63.0,0.1,72.0,185.0,76.0,Orthodox,1979.0,1.59,44.0,3.64,43.0,0.43,42.0,36.0,0.1
Rich Franklin,Edwin DeWees,Light Heavyweight,KO/TKO,2003.0,LasVegas,73.0,185.0,76.0,Southpaw,1974.0,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7,73.0,185.0,--,Orthodox,1982.0,1.53,33.0,6.19,39.0,2.18,66.0,0.0,3.3
Karo Parisyan,Dave Strasser,Welterweight,SUB,2003.0,LasVegas,70.0,170.0,72.0,Orthodox,1982.0,2.49,41.0,2.19,58.0,5.27,59.0,59.0,1.0,70.0,170.0,--,Orthodox,1969.0,3.04,45.0,1.88,59.0,0.72,33.0,33.0,0.0
Josh Thomson,Gerald Strebendt,Lightweight,KO/TKO,2003.0,LasVegas,70.0,155.0,71.0,Orthodox,1978.0,2.59,47.0,2.12,64.0,1.92,39.0,54.0,1.3,69.0,155.0,--,Orthodox,1979.0,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4
Nick Diaz,Jeremy Jackson,Welterweight,SUB,2003.0,LasVegas,73.0,170.0,76.0,Southpaw,1983.0,5.71,42.0,3.84,59.0,1.28,32.0,60.0,1.0,70.0,170.0,--,Orthodox,1982.0,0.71,27.0,2.03,25.0,1.52,40.0,58.0,0.0
Hermes Franca,Caol Uno,Lightweight,KO/TKO,2003.0,LasVegas,66.0,155.0,71.0,Orthodox,1974.0,1.78,39.0,2.85,55.0,1.53,36.0,37.0,2.4,67.0,155.0,70.0,Southpaw,1975.0,1.91,49.0,1.9,50.0,1.95,31.0,37.0,0.5
Randy Couture,Chuck Liddell,Light Heavyweight,KO/TKO,2003.0,LasVegas,73.0,205.0,75.0,Orthodox,1963.0,2.85,57.0,1.53,59.0,2.78,46.0,58.0,0.5,74.0,205.0,76.0,Orthodox,1969.0,2.97,35.0,2.71,56.0,0.44,75.0,81.0,0.0
Kimo Leopoldo,David Abbott,Heavyweight,SUB,2003.0,LasVegas,75.0,235.0,--,Orthodox,1968.0,0.76,83.0,2.12,30.0,4.55,100.0,0.0,2.3,72.0,265.0,--,Switch,--,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0
Vitor Belfort,Marvin Eastman,Light Heavyweight,KO/TKO,2003.0,LasVegas,72.0,185.0,74.0,Southpaw,1977.0,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6,69.0,185.0,73.0,Orthodox,1971.0,2.21,35.0,3.92,42.0,1.38,33.0,81.0,0.0
Vernon White,Ian Freeman,Heavyweight,S-DEC,2003.0,LasVegas,72.0,205.0,--,Southpaw,1971.0,2.11,38.0,2.2,54.0,0.88,28.0,44.0,0.0,71.0,225.0,--,Orthodox,1966.0,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7
